ticker,n_windows,expected_days,actual_days,coverage_pct,on_disk
MKTX,1,1552,1549,99.81,True
AMD,2,3246,3240,99.82,True
ESRX,2,2248,2244,99.82,True
APH,1,3979,3972,99.82,True
HCA,1,2834,2829,99.82,True
O,1,2786,2781,99.82,True
NEE,1,3979,3972,99.82,True
TXN,2,4094,4087,99.83,True
CSRA,1,589,588,99.83,True
FISV,2,3485,3479,99.83,True
RHI,1,3633,3627,99.83,True
FMC,1,3822,3816,99.84,True
KMX,1,3852,3846,99.84,True
M,1,2575,2571,99.84,True
MMM,2,4000,3994,99.85,True
UAA,1,1395,1393,99.86,True
ZION,1,3566,3561,99.86,True
VFC,1,3577,3572,99.86,True
XRAY,1,3577,3572,99.86,True
WHR,1,3566,3561,99.86,True
GT,1,2299,2296,99.87,True
THC,1,1571,1569,99.87,True
TFX,1,1555,1553,99.87,True
MAT,1,2362,2359,99.87,True
CB,1,1508,1506,99.87,True
EQT,2,3119,3115,99.87,True
AAL,1,2396,2393,99.87,True
FLR,1,2359,2356,99.87,True
EMN,1,3978,3973,99.87,True
PSX,1,2374,2371,99.87,True
XRX,1,2813,2810,99.89,True
XOM,1,928,927,99.89,True
HOG,1,2645,2642,99.89,True
FLS,1,2813,2810,99.89,True
DD,2,3654,3650,99.89,True
FTI,1,1831,1829,99.89,True
R,1,1865,1863,99.89,True
PBI,1,1789,1787,99.89,True
TDC,1,1865,1863,99.89,True
